year,film,producer,winner,movie,formatted_name,top_critics,_merge
2012, Life of Pi ,"Gil Netter, Ang Lee, and David Womark",0, Life of Pi ,life-of-pi,"['A boy, and a tiger, and a vast, endless ocean. Ang Lee makes a film out of material that seems almost unfilmable, and a lot of it is quite wondrous.', 'While you are bathing in all the beauty, you are waiting and waiting and waiting for this film to say something, yet when it finally does... it all just feels empty somehow.', ""Lee shows his hero's imperilled position as a mixed blessing. By tottering on the ledge of his mortality, Pi gains a front-row seat on the miracles of creation... All this is, in a word, Awesome."", ""Veteran filmmakers will warn you, don't film at sea and don't work with animals. Ang Lee built a vast tank in Taiwan and he whips up awesome storms. [However,] watching the water here is more rewarding than watching the characters."", ""When adrift with Pi and the tiger on the open sea, the film is at its most wondrous: a ravishing spectacle that treads judiciously on the infinite line between what's possible and impossible."", 'Lee is a wizard, Life of Pi is an incredible spectacle and the technical effects are brilliant.', 'Life of Pi is chiefly to be recommended for the punch of its core story. Never mind the cod-philosophical breadth - feel the impressive emotional depth.', ""Despite some lovely images and those eyepopping effects, it is a shallow and self-important shaggy-dog story - or shaggy-tiger story - and I am bemused by the saucer-eyed critical responses it's been getting."", ""Is Lee's film a fable? Is it an adventure? No, it's a super-movie."", 'Yes, this is fantasy cinema. One man, alone with his wonderment, suspended between sky and sea.', ""To produce a coherent film from Martel's tricky novel would be achievement enough, but Ang Lee has extracted something beautiful, wise and, at times, miraculous."", ""There's less than meets the eye in Lee's ultimately unsatisfying fable."", 'Flawed, yes, but marvellously ambitious, and unforgettably gorgeous to look at.', ""Didn't convince me to believe in God, but it did make me believe in the power of cinema."", ""Mr. Lee's film is stronger as a visual experience-especially in 3-D-than an emotional one, but it has a final plot twist that may also change what you thought you knew about the ancient art of storytelling."", 'Most admirably, Life of Pi resists turning its remarkably realistic, digitally created feline into a friend or pet.', ""There's an audience out there for this movie, but the question is whether they will find it."", ""The movie's energy peters out in a series of book-club conversations about divine will, the power of storytelling, and the resilience of the human spirit."", ""A movie that can't be dismissed because there is too much in it but can't be embraced because it's all spread too thin."", 'This transcendent fable carries a real sting in its tail. Ang Lee has made a bold and wondrous movie, one of his best.']",both
2012, Lincoln ,Steven Spielberg and Kathleen Kennedy,0, Lincoln ,lincoln_2011,"['Lincoln is a triumph.', 'Its narrative swoop largely takes the legislative detail in its stride, plus the star is Daniel Day-Lewis, which is always a thing. He is not so much an actor, more a shape shifter.', ""It's an intricate, thought- provoking and (be warned) very talkie study of democracy that is almost entirely schmaltz-free."", 'Lincoln is an engrossing and even stirring civics lesson that tries, with admirable responsibility if only mixed success, to give voice to black America.', ""It's very good, but that's not the point. It's necessary."", 'Against the odds, Spielberg makes something genuinely exciting of the backstage wheedling.', ""[Spielberg is] a man on a mission. And his not so secret weapon is Day-Lewis, an actor so charismatic it's hard to think clearly while he's on screen."", 'By stepping into history without fear, favour or any overfamiliar biopic folly, Lincoln, handsome, often thrilling, and movingly human, goes into history as a major movie achievement.', 'A rousing, rigorous and morally complex legal procedural more than a trad biopic. And all the better for it.', 'What a feat from Day-Lewis: the nearest thing a 21st-century biopic can get to a seance.', ""It's tiresome to describe Day-Lewis as brilliant, so let's push the boat out: his Lincoln is absolutely wonderful."", ""'Lincoln' works as a snapshot of a great man without ever slipping into a portrait of sainthood."", 'As unexpected as it is intelligent, thanks to virtuoso work from Spielberg and Kushner, Lincoln is landmark filmmaking, while Day-Lewis is so authentic he pulls off that stovepipe.', 'This is movie magic -- history coming to life, before our eyes.', ""It's the most remarkable movie Steven Spielberg has made in quite a spell, and one of the things that makes it remarkable is how it fulfills those expectations by simultaneously ignoring and transcending them."", ""Lincoln paints a powerful and compelling portrait of the man who has become an icon. We don't need to see more of his life to understand how rare a figure he was - this window is more than sufficient."", 'Lincoln offers proof of what magic can happen when an actor falls in love with his character. Because as great as Day-Lewis has been in his many parts, he has never seemed quite so smitten.', ""[Day-Lewis] convincingly comprehends Lincoln's melancholy and his humor; his self-deprecation and brandishing of authority; his backwoods simplicity and his highly literate verbal dexterity…"", ""Master shape-shifter Daniel Day-Lewis delivers a monumental portrayal of a man so firmly monumented in our nation's history."", 'The film masterfully captures the dual dilemmas facing the president in the final months of his life: how to bring the war between the states to an end, and how to eradicate slavery, once and for all.']",both
2012, Les Misérables ,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh",0, Les Misérables ,les_miserables_the_staged_concert,[],both
2012, Silver Linings Playbook ,"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon",0, Silver Linings Playbook ,silver_linings_playbook,"[""Frustrating as it can be to watch, nixing nuance for a heavy-handed storyline that convinces viewers of Pat and Tiffany's humanity is forgivable."", ""Russell's smart, snappy script is delivered by a top-notch cast, including two thoroughly likeable and well-matched leads."", 'But Silver Linings Playbook never induces a roll of the eyes, even if it never really surprises.', 'Writer-director Russell is just the guy to bring out (and then calm) the manic dysfunction in these folks.', 'Director David O. Russell, who adapted the novel, and his cast fill the story with engaging, believable characters.', ""It's a rom-com that succeeds in revitalizing that discredited genre where so many others have failed, injecting it with the grit and emotion of realist drama rather than with amped-up whimsy or social satire or montages of people walking on the beach."", 'Unique, beguiling, and occasionally frustrating: These descriptions equally apply to Silver Linings Playbook and its two central characters.', 'A crazy beaut of a comedy that brims with generosity and manages to circumvent predictability at every turn.', ""Offers the satisfaction you'd expect from a romcom and feel-good sports movie, but Lawrence and Cooper's delicate treatment of their characters makes it far more than a fleeting source of entertainment."", 'Silver Linings Playbook remains a very classy, acceptably funny slice of comic drama. But that eventual cop-out feels deeply unsatisfactory.', 'This is a date movie that caters to the needs of both men and women: American football and comedy, ballroom dancing and romance. Silver Linings Playbook covers all those bases -- and rises above them too.', 'Seeing it a second time has made me love it even more, not always the case.', 'Silver Linings Playbook is all things to all moviegoers. Please join the queues circling the blocks.', ""Might at first look like proper cinema red in tooth and claw, but underneath it's a bundle of matted fleece and bleating."", ""This is a date movie that doesn't offer the sophistication it thinks it does, but is as enjoyable and good-natured as the genre requires."", 'An edgy romantic dramedy that suits our anxious times.', 'This meaningful film keeps the laughs, giddy anxiousness and warm butterflies from the trailer and sustains it all through two full hours of a love story.', 'Lawrence, in her most high-low, sad-comic turn yet, is remarkable.', ""It shouldn't work - there's just too much going on. But it does. Spectacularly. Go see it."", ""Just about everybody in the cast of David O. Russell's strange and disturbing and deeply romantic new film has the chance to act with a capital A.""]",both
2012, Zero Dark Thirty ,"Mark Boal, Kathryn Bigelow, and Megan Ellison",0, Zero Dark Thirty ,zero_dark_thirty,"['[Zero Dark Thirty] is one of the great cinematic procedurals ever made.', ""When it comes to establishing and maintaining tension, there wasn't a better American genre picture released this year. Refrain from viewing it as historical record and you won't leave disappointed."", ""... it is Chastain's performance, as restrained as it is powerful, that may just be the cherry atop this massive and meticulous film."", ""This doesn't zip along in the manner of typical Hollywood entertainment but it's memorable cinema with a finale that will stay with you long after viewing."", 'A great American film: complicated, nuanced, searching, piercing, difficult - and yet thrilling and satisfying all the same.', 'Zero Dark Thirty is a magnificent movie, if we ignore the moral ambiguities. But can we?', ""If you like World War II films, you'll enjoy this."", ""What's striking is the absence of triumphalism -- Bigelow doesn't shy away from showing the victims shot down in cold blood in the compound -- and we come away with the overwhelming sense that this has been a grim, dark episode in our history."", 'So overwhelming is the momentum that it proves possible to live with the intelligence that the protagonist is complicit in ground-level fascism.', 'Terrifically good, propulsive film-making ...', 'We get all imaginable views of the witchy pentacle that is covert US military politics.', 'It haunts and lingers long after the lights go up.', ""It's an effective thriller - uninterested in anyone other than the home team."", ""In Kathryn Bigelow's masterful thriller, the manhunt for Osama bin Laden is the ultimate no-win scenario: a battle neither side can afford to lose with a prize that may not be worth the fight."", 'Gripping throughout, with an impressive central performance, this is like a Dogme 95 redo of a Chuck Norris film ...', 'This is an instant classic.', 'Chastain makes Maya as vivid as a bloodshot eye. Her porcelain skin, delicate features and feminine attire belie the steel within.', ""There is admirably little fat on its bones. No love interests, no backstories, no B-plot about Maya's childhood: Zero Dark Thirty is as ruthlessly, relentlessly single-minded as she is about the hunt for bin Laden."", ""No doubt Zero Dark Thirty serves a function by airing America's dirty laundry about detainee and torture programs, but in its wake, there's a crying need for a compassionate Coming Home to counter its brutal Deer Hunter."", 'While ""Zero Dark Thirty"" may offer political and moral arguing points aplenty, as well as vicarious thrills,as a film it\'s simply too much of a passable thing.']",both
2013, 12 Years a Slave ," Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony 
Katagas ",1, 12 Years a Slave ,12_years_a_slave,"['Director McQueen, drawing on the visual aesthetic of his previous works Shame and Hunger, never shies away from frames that capture the ways that beauty exists in the most painful situations.', ""12 Years a Slave is, like The Trial, a trapdoor over the abyss. Although less abrupt than Kafka's novel, the movie wastes little time before plunging its viewer into a nightmare of dehumanization."", 'Ambitious, honest and horrifying all at once, 12 Years a Slave may not be the easiest film to watch more than once, but it will stay with you forever once you see it.', 'Add the visionary direction by Steve McQueen, the British Turner Prize-winning artist turned film-maker (Hunger, Shame) and you have an out-and-out stunner.', 'A significant, necessary piece of work, one that stays with you long after you rise out of your theater seat.', ""Movies can do a great many things - they can make us laugh, or incite our heroism, or frighten us, or make us cry. '12 Years a Slave' makes us feel, deeply and urgently."", 'It speaks to the courage and resilience of one man, the savagery of many, and the potential, for both good and for ill, in us all.', ""McQueen depicts the horrific experiences of Solomon Northup, the free man kidnapped and sold into slavery, in utterly unflinching fashion. The film's strength lies in its frankness and avoidance of either sentimentality or Quentin Tarantino-style irony."", ""In its own saintly manner, it's as exploitative as anything critics accused Django Unchained of being, minus Tarantino's eye for idiosyncrasy and sense of humor."", 'The film tells an irresistibly powerful story, in a way that does not shirk the horror. It is unbearable to watch at times, but that is as it should be.', ""You will recoil. You will flinch. You will say to yourself, 'Oh no, not again.' But the story will seize you with such a visceral power you will be rooted to the spot. I know I was and I'm not easy to root."", 'A film that, despite its surface simplicity, proves to be riven with contradictions to the point of incoherence.', 'Ejiofor proves himself a master of physical understatement, the clench of his teeth and slightest parting of the lips speaking volumes.', ""A tale of suffering, endurance, courage and abiding humanity about a freeborn man kidnapped and sold into slavery, which packs all the more wallop for the elegance with which it's made."", ""Ejiofor projects extraordinary integrity, even nobility - and he holds the camera magnificently. It's a deeply inward, deeply felt performance, surely a cert for one of the many Oscars this film must win."", 'The American South\'s ""peculiar institution"" has, it seems, become a fit topic for narrative cinema. And it only took a century.', ""12 Years a Slave proves McQueen's formal prowess and, more significantly, his utter seriousness as a dramatist."", ""12 Years a Slave isn't simply a masterpiece, it's a milestone. This, at last, really is history written with lightning."", 'Twelve Years a Slave is a magnificent achievement and it is a career best for everyone involved, not least its artist-turned-director, Steve McQueen.', 'The whole film breathes with reality, even while the bayou landscapes are infernalised, surrealised, by a terrible beauty of vision.']",both
2013, American Hustle ,"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon",0, American Hustle ,american_hustle,"[""It's enjoyable and fun to watch, but just barely touches the surface of its own narrative."", ""It's a sly film that slips through your fingers, leaving the glitter of great performances, but one you'll be hustling to watch again."", ""A movie as smart as 'American Hustle' knows that those tactile pleasures only matter if they're attached to some kind of emotional resonance."", 'Pure, raw energy.', 'Few are the films that can be described as profoundly artistic and deliriously entertaining, substantial and soufflé-like. Noble, and screwy.', ""The movie's greatest strength [is] Russell's magnanimity toward his characters, an equable, never cloying embrace of their imperfections."", ""Like the Abscam con, the film is a convincing confection, so well played that we don't care if it's the real deal or not."", 'One of the films of the year for me.', ""Save your admiration for the performances, especially Lawrence, who is now Hollywood's most important presence in front of the camera."", 'It turns out that comb-overs, cleavage, cocaine and kookiness are an unbeatable combo.', 'Fun, charming, but slight - and way too long and flabby in the girth for such slightness.', ""American Hustle doesn't conform to one genre, though it has elements of farce, screwball, heist thriller and caper comedy. In dressing it up like a Scorsese-style crime movie, Russell brings an unusual weight and tension to [the film]."", 'Though never boring, American Hustle does itself feel a little like a con - a skilled exercise in creative misdirection.', 'You forget that Russell once made such impenetrable navel-gazing twaddle as I Heart Huckabees, and simply revel in the fact that American Hustle is often deliriously good fun.', ""Director David O. Russell and co-writer Eric Warren Singer grab hold of the FBI's long-time Abscam sting (conducted in the late '70s into 1980) as their kernel of truth, then Jiffy Pop it like mad."", 'Ambitious even as it studies, exploits and explodes ambition, ""American Hustle"" is as good as any American film this year. It\'s also a lot of fun. Don\'t miss it.', ""American Hustle is a movie built on that cornerstone of the American Dream, reinvention. If you're not happy with who you are, or who people think you are, then go ahead and become somebody else. Anything to survive - and thrive."", 'So many layers of double-cross, lies, betrayal, grandiosity, and sheer insanity that the audience may feel they are getting lost, but in a way, that is the point.', ""The source of this movie's galvanizing intrigue is that the characters remain in play -- they never settle into place"", ""It's one of the year's cleverest films, and also one of the best.""]",both
2013, Captain Phillips ,"Scott Rudin, Dana Brunetti, and Michael De Luca",0, Captain Phillips ,captain_phillips,"['Hanks is the casting coup here, and anchors (forgive the pun) the film with the sense of a normal, modest everyman who is in over his head.', ""The Navy SEALS procedural is a bit of a jumble even as it comfortingly demonstrates American competence in the face of a standoff. Still, it's the captain's passion that gives the movie its emotional intensity."", ""My heart was in my mouth throughout. It is nail-bitingly exciting, even if you know the outcome, and I think I can safely say it's a better film than the one I thought I was going to see."", '... this high-stakes, visceral drama that allows the audience to experience the myriad emotions at the same time as the characters. It captures what is truly remarkable about the human spirit in times of peril.', ""The film's real muscle - intelligently never over-flexed - is as an allegory in the balance of global power and the value of life."", ""It seems strange to say that an actor as awarded and acclaimed as Tom Hanks is still capable of surprising us. But he does in 'Captain Phillips,' which is one of the best films of the year."", ""[W]e're carried along not just by the momentum of events, but by the precision with which they're depicted."", ""The disappointing aspect to Captain Phillips is that it doesn't go beyond action movie conventions."", 'Over and over in this movie we hear variations on the phrase ""everything\'s going to be OK."" It\'s just impossible to head out of the theater and back into the wider world believing that\'s actually true.', ""We're in the steady hands of Paul Greengrass, a director fully aware that convincing crisis stories involve conflicting interests and passions."", 'While ""Captain Phillips,"" to its credit, honors the pirates with more back-story, and they evolve as characters ...the end still lands squarely in a Hollywood space.', 'This is what piracy is now really like. In truth, it was probably always like this.', 'There is still an authenticity to the performances that mannered writing cannot undo.', 'For all its action aesthetics and nail-biting, gut-wrenching tension, this is on some level a film about globalisation, about what happens when the paths of the very poor and the very rich intersect in the crossfire of world economics.', 'A ruthless, ripped-from-the-headlines seafaring thriller with a vintage turn from Tom Hanks.', 'A film in which many exciting things happen on an actual working ship out in open water - and yet the movie is uncompelling.', ""This is both Hanks's and Greengrass's best and sturdiest work in a decade; a film that feels less written, acted and shot than smelted, fused and riveted."", ""Mostly adapted from the Captain's memoir Captain Phillips is conversely taut and slack; culturally savvy and naive; politically astute and manipulative; emotionally sincere and embarrassingly overwrought."", ""The entire performance is one of the greatest in Hanks' prolific, varied career - a role that gives him a massive arc and the opportunity to show great range."", ""Director Paul Greengrass and cinematographer Barry Ackroyd create a vivid, insider's look at life at sea and how a crew of twenty did their best to elude their would-be captors.""]",both
2013, Dallas Buyers Club ,Robbie Brenner and Rachel Winter,0, Dallas Buyers Club ,dallas_buyers_club,"[""The film fails to break the pattern of transphobic narratives in cinema, perhaps because it doesn't understand that trans people are not the same as cis gay people."", ""Sometimes a character punches through the screen, beyond the film containing him. Matthew McConaughey's performance as an HIV-positive cowboy in Dallas Buyers Club is one of those moments."", ""Though Jean-Marc Valle's direction is sometimes indistinct, it does allow the actors to come off more inhibited in their performances and each scene is that much more authentic."", 'Despite the cadaverous appearance of its lead actor, Dallas Buyers Club wants to be pretty, too, presenting a tidy, uplifting history of the years when unconscionable inaction and prejudice toward those with AIDS were a matter of federal policy.', ""A powerfully moving film, and McConaughey's extraordinary physical transformation is much more than a stunt."", 'What makes the film so special is its sense of defiance and its scabrous humour.', ""McConaughey is so charismatic that, as a simple one-man-against-the-odds drama, Dallas Buyers Club is consistently engaging; almost, despite Woodroof's intentions, inspirational."", ""McConaughey and Leto drill down to the roots of their characters. It calls to mind that advice for actors playing drunk: you do it like you're emphatically sober. Neither man plays the disease. They play instead the rage to live."", 'Terrific performances by Matthew McConaughey and Jared Leto elevate this socio-medical drama out of the realms of the ordinary into something quietly remarkable.', 'For all its occasional compromises, Dallas Buyers Club shakes off potential disease-of-the-month TV movie status and succeeds at an uncomplicated emotional level.', ""Bravely, it offers neither a 'feel-good' nor 'feel-bad' payoff. However, the story's momentum fizzles out, its characters often feeling disconnected from each other and us."", ""The performances are spectacular, McConaughey's especially, so alive in approaching death."", ""It would be a TV problem-of-the-week movie without McConaughey's skill in combining intelligence with pizzazz."", ""It is fantastic and Matthew McConaughey gives the performance of his career. In fact, it may be the best performance of anyone's career. It'll blow your tiny minds. It blew my tiny mind."", 'A calculated prestige picture that never bothers to ask broader questions about the AIDS epidemic.', 'Like a Gary Cooper in the era of sexual crisis, McConaughey hits a very sure stride.', 'Get this - Matthew McConaughey is currently the most exciting acting talent at work in movies. Next up, the simple business of a Christopher Nolan.', ""Matthew McConaughey's quest to establish himself as one of the finest, most committed actors of his generation continues apace in Jean-Marc Vallee's fact-based Dallas Buyers Club."", 'The AIDS epidemic was not a happy-ending story. But it was certainly a test of the human spirit. Ron Woodroof passed that test.', ""Dallas Buyers Club is an indelible story about one man's unwillingness to go gently into that good night, and the personal growth he experiences along the way.""]",both
2013, Gravity ,Alfonso Cuarón and David Heyman,0, Gravity ,gravity_2013,"['This is virtuoso film-making on every level.', 'Their [Sandra Bullock and George Clooney] fight for survival against the odds is so brilliantly realised that you forgive the implausible plot. ', ""With its themes of spirituality, religion, birth, rebirth and hope, Gravity is a film that will move audiences in different ways. That's the beauty of it; it transcends genres, generations and time, a modern classic."", 'A survival drama set almost entirely in the unfathomable abyss of outer space, Gravity is something now quite rare -- a truly popular big-budget Hollywood movie with a rich aesthetic pay-off.', ""It is a big, bold picture that refuses to be timid, and it left me trembling. It's not just a film; it's something that happens to you."", ""So it was good, if a bit jarring, to feel myself shrink at the film's beginning, when I found myself floating above the surface of the earth for a little while in absolute silence."", 'The CGI is flawless, and the beautiful shot construction is staggering.', ""This is a story about people floating through space, and Alfonso Cuarón's feature brilliantly contrives to make the viewer feel similarly untethered, to often thrilling effect. This is surely the closest cinema comes to three-dimensional virtual abseiling."", ""Cuaron's knack for long takes amplifies the terror, where devastation approaches without a sound and that thump you hear could very well be your own pulse."", ""It's a technical marvel -- appropriately breathtaking in its evocation of space's vastness and the buffeting suffered by the two astronauts in their efforts to anchor themselves to something solid. But Cuaron also knows how suspense works."", ""An absolute technical marvel in every way possible -- from cinematography to special effects to sound design to score, all of Gravity's technical parts work together in perfect harmony for maximum effectiveness."", 'Despite these flaws, Gravity is an amazing experience.', 'Can one smell bull**** in space?', ""Created through a painstaking combination of physical and digital performance that disintegrates the divide between live action and animation, Gravity boasts a level of sheer visual invention that would have left Stanley Kubrick's head spinning."", 'One can easily imagine Robert Louis Stevenson or H Rider Haggard getting a kick out of Gravity.', ""It's a bumpy trip, with two voyagers carrying, some will argue, excess charisma baggage. But it's a trip no space spectacle fan should miss."", ""Director and co-writer Cuarón brilliantly manages to create both awe at his glorious space vistas, and knuckle-gobbling tension at what's happening in the foreground."", 'The film of the year.', ""Believe the hype: Gravity is as jaw-droppingly spectacular as you've heard - magnificent from a technical perspective but also a marvel of controlled acting and precise tone."", '""Gravity"" is a knock out, but without Bullock\'s movie-star charisma and everywoman relatability, the film wouldn\'t work nearly as well as it does.']",both
2013, Her ,"Megan Ellison, Spike Jonze, and Vincent Landay",0, Her ,her_2020,[],both
2013, Nebraska ,Albert Berger and Ron Yerxa,0, Nebraska ,nebraska,"['Nebraska is a slow-burning heart-warmer that neatly dodges the cornball bullet of a climactic manly hug.', '... its beauty lies in its simplicity.', ""Forever typecast as nutjobs and con artists, Dern's Woody Grant is a little chubby, a little bewildered, and a lot unkempt. He's grizzled, resigned, and wonderful, and so is the film."", ""Nebraska, despite a few pleasures, strikes me as Payne's most cartoonish, one-dimensional work."", ""There is a sentimental aspect to the concluding stages of the film: it's not as broad or astringent as Payne can be. But there's also something intriguingly dreamlike about its tone."", 'In Payne films, as in the films of Jean Renoir, there are no ""goodies"" or ""baddies""; everyone has their reasons, and that makes his work distinctly different from most mainstream American films these days.', '[A]n odyssey into the past, into missed opportunities, and into the complexities of an everyday family of malcontents.', '[Payne has] made an ""American Gothic"" for 21st-century, post-recession America. Who needs a pitchfork anyway, when you can have an ice cold bottle of Bud?', ""The deft achievement of this movie is that it has a hardness that doesn't delight in the meanness of mockery as the Coens often do."", 'Nebraska tunes its bittersweet ""personal journey"" riffs to the plaintive waltz of picked guitars and lyrical fiddles, played out against a backdrop of fading midwest towns and long, lonesome interstates.', ""Nebraska is an absolutely enchanting film, so funny, so touching, ringing true - for me right up there with the year's best."", 'Though taken from an original script by Bob Nelson, the result could hardly be more characteristic of Payne if his name were watermarked into every frame.', 'In iconic black and white, the brilliant, empathetic Payne (""Sideways"") delivers another fully realized road movie - and Oscar contender.', 'A bittersweet road movie about the joy and sadness of ageing directed by the great Alexander Payne.', ""Think of David Lynch's The Straight Story and subtract colour and élan."", 'An intimate road movie about one family that also lingers on the landscapes and fabric of an old-time, dying vision of the American Midwest', 'A charming road movie that develops into a full-blown study of life and roots, offering a beautiful insight into the way families migrate and change.', ""Forte is a surprising fount of melancholy and frustrated ambition, while Dern takes a tough part -- a man of few words who might not be all there -- and masterfully controls his body to convey Woody's inner depths."", '""Nebraska,"" it turns out, isn\'t as bleak as it first looks.', ""A desolate comedy-drama about fathers, sons, life's highways and missed off-ramps.""]",both
2013, Philomena ,"Gabrielle Tana, Steve Coogan, and Tracey Seaward",0, Philomena ,philomena,"['It is quiet, restrained, unfussy, and has, at its heart, an injustice so grave it will make your blood boil. You will also cry.', ""Despite its weighty themes, Stephen Frears' film is almost as much a comedy as a drama."", ""The movie is a bit of a puzzle coming from atheist co-writer Steve Coogan and the script grapples with these big questions of religion, class, and justice in a way that's far beyond the typical teary human-interest story."", 'One of the best purely British films of the year.', ""[The final act is] a great half hour or so of film -- funny, charming, sad, satisfying -- but the rest of Philomena isn't so up to snuff."", 'What at first seems formulaic comedy gains a deeper resonance as we see how they represent two responses to cruelty and injustice -- first outrage, and with time, eventually, forgiveness.', ""It's smart and unsweetened."", 'Even as Philomena embraces the expected feel-good dynamics, it avoids taking the usual path and doesn\'t paint all of the ""evil"" nuns with the same brush.', ""Solving this mystery is not nearly as engrossing as watching the actors' pas de deux."", ""We wouldn't care about any of this if the performances were weak. But both actors find complexity and depth."", 'At its core, this clever, wrenching, profound story underscores the tenacity of faith in the face of unfathomable cruelty.', ""Director Steven Frears deserves special mention. A lesser filmmaker could so easily have turned this project into mushy, sentimental junk. The tear-jerking moments here are heartfelt and real. It's the kind of filmmaking we see too little of today."", 'Dench is a delight, playing dowdy instead of her standard regal, and Coogan is appropriately droll and disillusioned. Together they manage to make a sad story feel somehow bright.', 'A true story that takes unexpected, unusually poignant turns.', 'The chemistry between Steve Coogan as a snooty journalist and Judi Dench as a retired nurse searching for her son brings humor and warmth to a harrowing tale of the plight of unwed Irish Catholic mothers in the 1950s.', 'Go beyond the manner of its telling and you find a story of cruelty and evil, of shocking acts committed under a veneer of civility and sanctity.', '""Philomena"" is a tearjerker of rare honesty and craft.', 'An utterly charming combination of road trip, odd-couple comedy and heart-touching true story that will leave few dry-eyed, ""Philomena"" rests comfortably in the lap of the great Judi Dench.', 'The story touches on some of the thorniest issues of Catholic doctrine and tempers its righteous anger with a tone more sad than bitter.', ""Director Stephen Frears manages to successfully walk the tricky line between comedy and dark drama. It keeps the audience off-kilter a bit, but in a good way; we shouldn't always need to know what's coming next, in terms of tone or plot.""]",both
2013, The Wolf of Wall Street ,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger 
Koskoff",0, The Wolf of Wall Street ,the_wolf_of_wall_street_2013,"['... A sprawling riot of bad taste and consumption — and tremendously entertaining if you’re in the right mood. ', ""The film has roused censure for glorifying crime, with scant, awkwardly realised minutes paid to Belfort's eventual comeuppance. But surely 71-year-old Scorsese, a one-time wannabe priest whose work is preoccupied with morality, did that deliberately?"", 'Scorsese is fascinated by procedure, by drawing back the curtain and showing us how things happen, though he keeps the picture nimble and entertaining enough to avoid burying himself in the minutiae.', ""[Belfort is] in the wrong. That's for sure. But to walk away and not realize we're at least a little complicit, too, would be foolhardy."", ""DiCaprio's powerhouse performance, and Scorsese's brilliantly energetic direction make this a must watch for film lovers."", ""Scorsese's hard-R portrayal of Belfort and company's insatiable appetites -- for money, for whores, for drugs, for stuff -- pierces until it numbs."", ""Along with its three-hour runtime, this baggy plotting may make Wolf a somewhat harder sell to audiences but it's a deeper movie than The Departed -- among the best that Scorsese has made."", 'There is no psychological insight, no moral insight, just no insight, full stop. And it palls after a while.', ""Movies shouldn't provide moral instruction but the best incorporate competing philosophies. Unfortunately, there is no one Scorsese can bring himself to be quite as interested in as Belfort."", 'It made me not love but utterly loathe Belfort - a moral victory, perhaps, but also something of a problem, because a character who is simply detestable rapidly becomes uninteresting.', 'At times, the film seems almost Hobbitian in its inability to finish a scene that is already well past its natural lifespan.', ""Is it immoral to celebrate villainy? There's not much point in pretending The Wolf of Wall Street doesn't do that, pretty exuberantly too."", 'Every time I looked at my watch, the hands seemed to have stayed still.', ""The Wolf of Wall Street does not quite have the subtlety and richness of Scorsese's very best work, but what an incredibly exhilarating film: a deafening and sustained howl of depravity."", ""DiCaprio has hinted before that comedy might be his natural calling -- think of Catch Me If You Can -- but his energy here is not just fun, it's discovery."", ""For three hours the movie operates at a ridiculous comedic pitch. You never forget you're at the circus. You never lose site of the lawlessness, the reckless pleasure, the sheer lunacy and lack of regulation."", 'Without a moral center, ""Wolf"" seems to revel in this cornucopia of bad behavior.', 'It lets you relish in unparalleled no holds barred debauchery while increasingly disillusioning the fun and games with the nasty reality of the situation along the way.', 'Scorsese unleashes a furious, yet exquisitely controlled, kinetic energy, complete with a plunging and soaring camera, mercurial and conspicuous special effects, counterfactual scenes, subjective fantasies, and swirling choreography on a grand scale.', 'The Wolf of Wall Street is a magnificent black comedy: fast, funny, and remarkably filthy.']",both
