Year,Movie Title
2001,Cats & Dogs
2001,The Caveman's Valentine
2001,The Center of the World
2001,A Chronicle of Corpses
2001,Corky Romano
2001,CQ 
2001,Crazy/Beautiful
2001,Crocodile Dundee in Los Angeles
2001,Cruel Intentions 2
2001,The Curse of the Jade Scorpion
2001,The Deep End 
2001,Delivering Milo
2001,Den 
2001,Dogtown and Z-Boys
2001,Domestic Disturbance
2001,Don't Say a Word
2001,Donnie Darko
2001,Double Take 
2001,Down to Earth 
2001,Dr. Dolittle 2
2001,Driven 
2001,Craig Clyde
2001,Earth vs. the Spider
2001,Elvira's Haunted Hills
2001,Enemy at the Gates
2001,Escape from Hell 
2001,Evolution 
2001,Exit Wounds
2001,The Fast and the Furious 
2001,Festival in Cannes
2001,Final Fantasy: The Spirits Within
2001,Finder's Fee
2001,The Fluffer
2001,The Forsaken 
2001,Frailty 
2001,Freddy Got Fingered
2001,From Hell 
2001,Full Frontal 
2001,Get Over It 
2001,Ghost World 
2001,Ghosts of Mars
2001,The Glass House 
2001,Glitter 
2001,God Didn't Give Me a Week's Notice
2001,Good Neighbor 
2001,Gosford Park
2001,Green Dragon 
2001,The Grey Zone
2001,Hannibal 
2001,Hardball 
2001,Harry Potter and the Philosopher's Stone 
2001,Harvard Man
2001,Head Over Heels 
2001,Heartbreakers 
2001,Hearts in Atlantis 
2001,Hedwig and the Angry Inch 
2001,Heist 
2001,Herman U.S.A.
2001,How High
2001,How to Make a Monster 
2001,Human Nature 
2001,I Am Sam
2001,In the Bedroom
2001,Jay and Silent Bob Strike Back
2001,Jeepers Creepers 
2001,Jimmy Neutron: Boy Genius 
2001,The Jimmy Show
2001,Joe Dirt
2001,Joe Somebody
2001,Josie and the Pussycats 
2001,Joy Ride 
2001,Jurassic Park III
2001,Just Visiting 
2001,K-PAX 
2001,Kate & Leopold
2001,Kill Me Later
2001,Kingdom Come 
2001,Kiss of the Dragon
2001,Kissing Jessica Stein
2001,A Knight's Tale
2001,Knockaround Guys
2001,L.I.E. 
2001,Lara Croft: Tomb Raider
2001,The Last Brickmaker in America
2001,The Last Castle
